id;date;details;sent_date;format;user_id;product_id
1;2021-07-01T15:23:21;Pants;2021-07-01T04:42:50;EMAIL;3405;81146
2;2021-07-01T06:57:12;port;2021-07-01T07:22:35;SMS;86437;18722
3;2021-07-01T22:05:53;program next-generation;2021-07-01T16:31:00;EMAIL;97870;11395
4;2021-07-01T11:45:24;reboot payment;2021-07-01T10:23:01;SMS;67108;40188
5;2021-07-01T03:58:12;Sports invoice;2021-07-01T22:57:12;SMS;25250;97027
6;2021-07-01T18:03:42;Officer stable Intelligent;2021-07-01T15:20:51;PARCEL;64519;40687
7;2021-07-01T05:08:24;Salad;2021-07-01T09:28:14;SMS;49244;268
8;2021-07-01T13:50:53;parallelism deposit Berkshire;2021-07-01T04:31:20;EMAIL;18345;42331
9;2021-07-01T06:35:45;Usability Jewelery;2021-07-01T12:59:33;SMS;77847;4595
10;2021-07-01T19:22:15;parsing;2021-07-02T01:20:11;EMAIL;31675;99829
